"foraging robots"	"building robots"	"average estimate"	"average deviation"	"construction events"	"blocks in cache"	"average degree"
11	39	0.00685609	-0.0868687	0	0.0112	2.26087
12	38	0.00656958	-0.0853367	0	0.0112	2.25
12	38	0.00656875	-0.0851796	0	0.0112	2.33333
11	39	0.00656792	-0.0857958	0	0.0128	2.33333
11	39	0.00656833	-0.0855279	0	0.0128	2.33333
10	40	0.00656792	-0.0856175	0	0.0144	2.33333
9	41	0.00656833	-0.0857129	0	0.016	2.33333
9	41	0.0063416	-0.0842796	0	0.016	2.36
9	41	0.0063308	-0.0840384	0	0.016	2.48
9	41	0.0445565	-0.0814469	0	0.016	2.38462
9	41	0.0445535	-0.0815385	0	0.016	2.38462
9	41	0.0445323	-0.0819796	0	0.016	2.38462
9	41	0.0445188	-0.0821177	0	0.016	2.38462
9	41	0.0428759	-0.0790456	0	0.016	2.2963
9	41	0.0428689	-0.0794678	0	0.016	2.2963
9	41	0.0428693	-0.0797044	0	0.016	2.2963
9	41	0.0415539	-0.0784636	0	0.016	2.32143
9	41	0.0400686	-0.0754407	0	0.016	2.34483
9	41	0.0401303	-0.0756521	0	0.016	2.34483
9	41	0.0401	-0.0755124	0	0.016	2.34483
9	41	0.0401052	-0.0758824	0	0.016	2.41379
9	41	0.0415311	-0.0751532	0	0.016	2.42857
10	40	0.0414804	-0.0755921	0	0.016	2.42857
10	40	0.0414575	-0.0760854	0	0.016	2.42857
10	40	0.0414689	-0.0761625	0	0.016	2.42857
10	40	0.04146	-0.0762889	0	0.016	2.42857
10	40	0.0400841	-0.0752769	0	0.016	2.48276
10	40	0.0400403	-0.074931	0	0.016	2.62069
10	40	0.0400441	-0.0754131	0	0.016	2.62069
10	40	0.0400193	-0.0754807	0	0.016	2.62069
9	41	0.0386677	-0.0732443	0	0.0176	2.6
9	41	0.0386447	-0.0765417	0	0.0176	2.6
9	41	0.038626	-0.0771693	0	0.0176	2.66667
9	41	0.0389672	-0.0778714	0	0.0176	2.65517
10	40	0.0389283	-0.0777241	0	0.0176	2.55172
10	40	0.0389017	-0.078	0	0.0176	2.62069
10	40	0.0709714	-0.0152941	0	0.0176	2.62069
10	40	0.0686507	-0.0162787	0	0.0176	2.7
10	40	0.0685817	-0.0191667	0	0.0176	2.86667
10	40	0.0708583	-0.0179338	0	0.0176	2.82759
11	39	0.0708103	-0.0179345	0	0.0176	2.68966
11	39	0.0732686	-0.0158975	0	0.0176	2.71429
12	38	0.0940029	0.00416321	0	0.0176	2.57143
12	38	0.0939864	0.00416857	0	0.0176	2.57143
12	38	0.0939686	0.00416893	0	0.0176	2.57143
12	38	0.09395	0.000385357	0	0.0176	2.57143
12	38	0.0939379	0.000425357	0	0.0176	2.64286
12	38	0.0939082	0.000197143	0	0.0176	2.64286
10	40	0.111688	0.0179311	0	0.0208	2.64286
10	40	0.111685	0.0179404	0	0.0208	2.42857
10	40	0.111667	0.0176421	0	0.0208	2.42857
9	41	0.111649	0.017315	0	0.0224	2.5
9	41	0.111636	0.0171596	0	0.0224	2.57143
9	41	0.111625	0.0170175	0	0.0224	2.57143
9	41	0.111618	0.0170921	0	0.0224	2.57143
9	41	0.111608	0.0170836	0	0.0224	2.57143
8	42	0.111595	0.0169164	0	0.024	2.57143
8	42	0.132947	0.0379561	0	0.024	2.5
8	42	0.137253	0.0420519	0	0.024	2.51852
9	41	0.137191	0.0419037	0	0.024	2.44444
9	41	0.137179	0.0417804	0	0.024	2.44444
9	41	0.145275	0.0496669	0	0.024	2.42308
10	40	0.145232	0.0494258	0	0.024	2.23077
10	40	0.144974	0.0503958	0	0.024	2.19231
11	39	0.139603	0.0485993	0	0.024	2.03704
11	39	0.139576	0.0488815	0	0.024	2.14815
11	39	0.139588	0.0481437	0	0.024	2.22222
11	39	0.163404	0.0717919	0	0.024	2.22222
10	40	0.157528	0.0689886	0	0.0256	2.14286
10	40	0.157516	0.0681775	0	0.0256	2.14286
10	40	0.152189	0.0606176	0	0.0256	2.27586
10	40	0.152102	0.0612869	0	0.0256	2.41379
10	40	0.152085	0.0601183	0	0.0256	2.41379
9	41	0.152047	0.0601045	0	0.0272	2.41379
9	41	0.157381	0.0653621	0	0.0272	2.5
10	40	0.157368	0.0647864	0	0.0272	2.5
10	40	0.157355	0.0640018	0	0.0272	2.5
10	40	0.162981	0.0696489	0	0.0272	2.44444
11	39	0.162983	0.0695796	0	0.0272	2.22222
11	39	0.162979	0.0695419	0	0.0272	2.22222
11	39	0.162977	0.0695681	0	0.0272	2.22222
11	39	0.162966	0.0694104	0	0.0272	2.14815
11	39	0.162951	0.0691944	0	0.0272	2.14815
11	39	0.162952	0.0692385	0	0.0272	2.22222
11	39	0.162943	0.0690856	0	0.0272	2.22222
11	39	0.162933	0.0688137	0	0.0272	2.22222
11	39	0.169073	0.0747777	0	0.0272	2.30769
12	38	0.169074	0.0744477	0	0.0272	2.23077
11	39	0.169071	0.0745177	0	0.0288	2.30769
11	39	0.169069	0.0744804	0	0.0288	2.30769
11	39	0.169068	0.0745242	0	0.0288	2.30769
11	39	0.169067	0.0741358	0	0.0288	2.30769
11	39	0.175828	0.0808932	0	0.0288	2.36
12	38	0.175827	0.0809604	0	0.0288	2.32
12	38	0.169064	0.0775588	1	0.0272	2.15385
12	38	0.169062	0.0774446	1	0.0272	2.23077
12	38	0.169058	0.0774215	1	0.0272	2.23077
12	38	0.190173	0.0985396	1	0.0272	2.23077
12	38	0.226657	0.134903	1	0.0272	2.23077
12	38	0.226645	0.134584	0	0.0272	2.23077
12	38	0.247346	0.155378	0	0.0272	2.25
13	37	0.247324	0.155078	0	0.0288	2.08333
13	37	0.24728	0.154883	0	0.0288	2.08333
13	37	0.247279	0.154841	0	0.0288	2.08333
13	37	0.24724	0.154668	0	0.0288	2.08333
13	37	0.257746	0.165216	0	0.0288	2.08696
14	36	0.257726	0.164959	0	0.0288	2.08696
14	36	0.257729	0.164886	0	0.0288	2.08696
14	36	0.257729	0.164753	0	0.0288	2.08696
14	36	0.257732	0.16447	0	0.0288	2.17391
14	36	0.257733	0.164524	0	0.0288	2.17391
14	36	0.257735	0.16455	0	0.0288	2.17391
14	36	0.247095	0.1557	0	0.0288	2.125
14	36	0.247122	0.155023	0	0.0288	2.16667
14	36	0.23726	0.14634	0	0.0288	2.12
13	37	0.237259	0.14629	0	0.0304	2.24
13	37	0.237262	0.144816	0	0.0304	2.32
13	37	0.237256	0.14461	0	0.0304	2.32
13	37	0.237256	0.144579	0	0.0304	2.32
13	37	0.237257	0.144587	0	0.0304	2.32
13	37	0.237248	0.144161	0	0.0304	2.4
13	37	0.237217	0.143526	0	0.0304	2.4
13	37	0.247068	0.15231	0	0.0304	2.41667
14	36	0.247077	0.152261	0	0.0304	2.41667
14	36	0.247071	0.151629	0	0.0304	2.41667
13	37	0.284884	0.189394	0	0.032	2.41667
13	37	0.319048	0.223691	0	0.032	2.41667
13	37	0.319049	0.223585	0	0.032	2.41667
12	38	0.319043	0.223517	0	0.0336	2.5
12	38	0.319042	0.223489	0	0.0336	2.5
12	38	0.319015	0.223457	0	0.0336	2.5
12	38	0.318995	0.223328	0	0.0336	2.5
12	38	0.318999	0.2233	0	0.0336	2.5
12	38	0.297665	0.201935	0	0.0336	2.5
12	38	0.297662	0.201549	0	0.0336	2.5
11	39	0.297663	0.2012	0	0.0352	2.41667
11	39	0.297662	0.201258	0	0.0352	2.41667
11	39	0.2678	0.171352	0	0.0352	2.41667
11	39	0.2678	0.171297	0	0.0352	2.41667
11	39	0.2678	0.171166	0	0.0352	2.41667
11	39	0.267801	0.171012	0	0.0352	2.41667
11	39	0.257168	0.162214	0	0.0352	2.44
11	39	0.267686	0.17339	0	0.0352	2.5
12	38	0.267707	0.172959	1	0.0336	2.33333
12	38	0.2677	0.17276	1	0.0336	2.33333
12	38	0.267702	0.172451	1	0.0336	2.33333
12	38	0.279155	0.184089	1	0.0336	2.30435
13	37	0.267612	0.174295	1	0.0336	2.16667
13	37	0.287458	0.195393	0	0.0336	2.33333
13	37	0.287468	0.194561	0	0.0336	2.33333
13	37	0.299803	0.206583	0	0.0336	2.30435
14	36	0.299806	0.206022	0	0.0336	2.26087
14	36	0.32384	0.231744	0	0.0336	2.41667
14	36	0.32375	0.232956	0	0.0336	2.41667
14	36	0.323756	0.232509	0	0.0336	2.41667
14	36	0.323763	0.232451	0	0.0336	2.41667
13	37	0.323775	0.232091	0	0.0352	2.41667
13	37	0.323764	0.231761	0	0.0352	2.33333
13	37	0.318319	0.225527	0	0.0352	2.33333
13	37	0.318312	0.224558	0	0.0352	2.41667
13	37	0.318308	0.223927	0	0.0352	2.33333
13	37	0.318309	0.223898	0	0.0352	2.33333
13	37	0.318309	0.22399	0	0.0352	2.25
13	37	0.318306	0.22373	0	0.0352	2.25
13	37	0.318296	0.223387	0	0.0352	2.25
13	37	0.31829	0.223241	1	0.0336	2.25
13	37	0.318288	0.223131	1	0.0336	2.25
13	37	0.318277	0.222845	1	0.0336	2.25
13	37	0.318276	0.222833	1	0.0336	2.25
13	37	0.318276	0.222847	1	0.0336	2.25
12	38	0.337193	0.241763	0	0.0352	2.25
12	38	0.337193	0.241718	0	0.0352	2.25
12	38	0.33719	0.24157	0	0.0352	2.25
11	39	0.337188	0.241221	0	0.0368	2.25
11	39	0.337187	0.241077	0	0.0368	2.25
11	39	0.33718	0.240902	0	0.0368	2.25
11	39	0.33716	0.240355	0	0.0368	2.16667
10	40	0.323749	0.22867	0	0.0384	2.04
9	41	0.323696	0.229534	0	0.04	2.08
8	42	0.323709	0.229002	0	0.0416	2.16
8	42	0.323703	0.229277	0	0.0416	2.16
8	42	0.323704	0.228394	0	0.0416	2.16
8	42	0.323694	0.227975	0	0.0416	2.16
8	42	0.32203	0.226285	0	0.0416	2.16
8	42	0.335307	0.239162	0	0.0416	2.125
9	41	0.335306	0.239065	0	0.0416	2
9	41	0.335278	0.238626	0	0.0416	2
9	41	0.335261	0.238314	0	0.0416	2
9	41	0.33527	0.23839	0	0.0416	2
9	41	0.335258	0.238295	0	0.0416	2
9	41	0.335253	0.238227	0	0.0416	2
9	41	0.335254	0.238195	0	0.0416	2
9	41	0.321843	0.228686	0	0.0416	1.92
9	41	0.321842	0.22867	0	0.0416	1.92
9	41	0.321844	0.228648	0	0.0416	1.92
8	42	0.346295	0.254857	0	0.0432	1.84615
8	42	0.28029	0.193974	0	0.0432	1.85185
8	42	0.276725	0.18996	0	0.0432	1.77778
8	42	0.266084	0.179176	0	0.0432	1.77778
8	42	0.266517	0.178942	0	0.0432	1.77778
7	43	0.268066	0.180588	0	0.0448	1.7037
7	43	0.25909	0.171298	0	0.0448	1.77778
7	43	0.258589	0.170712	0	0.0448	1.77778
